x,y,z
-9.533,0.858,35.267
-9.895,0.27,35.865
-9.723,-0.566,36.279
-8.703,-0.566,36.415
-9.909,0.182,35.905
-8.809,-1.556,35.923
-9.723,-0.568,36.277
-9.893,-1.398,35.853
-9.907,-1.312,35.895
-4.581,-0.57,36.983
-4.761,-2.818,36.141
0.219,-4.342,35.965
-0.611,-6.606,32.141
2.783,-5.54,34.167
2.987,-5.704,33.913
3.833,-5.044,35.073
5.701,-5.022,35.249
5.013,-5.064,35.125
3.983,-5.052,35.069
5.425,-5.092,35.113
3.573,-6.15,33.179
4.947,-7.014,31.779
4.775,-7.47,30.983
5.669,-5.106,35.105
7.043,-5.142,35.083
5.261,-7.204,31.461
5.441,-7.268,31.353
6.803,-5.15,35.059
5.923,-7.43,31.015
6.099,-7.504,30.865
6.355,-7.612,30.637
32.555,-9.238,24.927
32.467,-9.238,24.495
33.123,-6.642,21.567
30.211,-11.304,25.975
30.087,-11.384,26.693
26.847,-12.196,26.669
28.597,-10.964,28.087
25.667,-11.744,27.503
26.655,-9.814,28.287
24.261,-10.886,27.461
25.015,-8.826,25.773
22.371,-11.648,24.867
27.131,-12.098,25.815
25.013,7.842,25.891
26.573,8.528,23.621
26.433,8.006,23.929
25.575,7.158,25.287
26.611,7.914,23.709
24.939,12.43,22.299
27.127,11.116,25.977
28.957,11.834,24.863
30.207,10.32,26.123
30.913,10.588,24.821
32.465,8.276,24.615
32.389,8.364,23.457
33.119,5.718,21.655
32.343,5.922,19.935
33.447,3.592,19.979
32.949,3.744,18.959
33.059,2.226,18.615
33.315,-2.972,19.753
33.013,-2.83,19.139
33.037,-2.79,19.323
33.047,-2.716,19.545
33.187,-3.038,19.167
33.447,-4.49,19.923
33.043,-4.05,20.759
32.577,-5.958,23.065
31.525,-8.598,26.753
30.675,-9.834,27.839
29.639,-7.686,27.351
28.455,-8.678,28.115
27.101,-7.094,24.789
27.397,-6.91,24.697
25.607,-8.116,25.173
25.577,-8.136,25.179
26.613,-8.868,23.591
26.575,-9.478,23.495
26.433,-8.964,23.815
24.943,-13.364,22.119
27.153,-11.516,22.771
29.029,-12.512,22.927
30.701,-11.494,22.927
30.917,-11.554,24.665
31.781,-9.188,21.675
32.391,-9.31,23.335
32.345,-6.82,19.849
22.367,10.676,25.019
24.257,9.876,27.605
26.653,8.794,28.415
25.661,10.736,27.659
28.593,9.948,28.231
26.843,11.2,26.831
30.085,10.39,26.845
32.553,8.266,25.049
28.293,-7.55,22.199
29.293,-6.934,21.177
29.281,-6.872,21.197
29.561,-8.26,20.771
29.309,-7.012,21.153
29.659,-6.72,20.567
30.195,-6.0,19.661
30.553,-6.318,19.075
30.361,-5.748,19.491
30.479,-5.498,19.391
30.557,-5.348,19.285
31.101,-3.984,18.603
31.119,-4.002,18.567
31.151,-4.038,18.501
31.397,-4.308,17.997
-25.601,-9.494,-29.319
-26.883,-9.4,-29.291
-30.857,-9.112,-29.199
31.253,-3.598,18.483
-25.605,-9.51,-29.291
31.293,-3.506,18.449
31.353,-3.5,18.351
31.389,-3.49,18.315
31.693,-3.28,18.079
31.827,-3.21,17.965
32.905,-2.872,18.683
33.061,-3.108,18.579
32.565,-2.956,18.287
0.219,3.216,36.017
5.423,3.976,35.175
5.011,3.948,35.187
5.701,3.904,35.311
2.783,4.436,34.237
2.987,4.602,33.983
3.831,3.928,35.133
3.981,3.936,35.131
4.947,5.944,31.867
3.571,5.06,33.257
5.669,3.988,35.167
7.039,4.026,35.147
5.259,6.138,31.551
5.437,6.204,31.445
6.801,4.036,35.123
6.099,6.446,30.959
5.923,6.37,31.109
28.961,-12.802,24.693
31.521,7.602,26.867
32.577,5.016,23.139
33.043,3.14,20.811
33.315,2.074,19.787
33.187,2.15,19.203
33.011,1.94,19.171
33.035,1.898,19.355
33.045,1.82,19.577
26.605,7.98,23.459
26.613,7.8,22.785
26.613,7.818,23.035
26.403,10.902,20.931
-28.165,-9.308,-29.261
26.613,7.792,22.795
-25.869,-9.516,-29.241
26.613,7.798,22.787
26.613,7.796,22.787
27.341,7.238,22.963
26.703,7.724,22.811
26.717,7.714,22.815
28.109,9.208,21.581
29.475,9.908,21.761
31.353,8.128,21.215
29.789,10.102,22.613
31.779,8.262,21.795
30.671,8.822,27.969
29.637,6.684,27.451
31.323,4.318,23.731
28.251,5.524,24.429
29.057,5.018,23.875
27.395,5.942,24.785
29.843,4.5,23.359
30.233,4.13,22.913
26.615,-8.764,22.919
26.615,-8.732,22.681
26.607,-8.93,23.345
26.615,-8.736,22.675
26.405,-11.818,20.773
26.693,-8.672,22.697
27.343,-8.18,22.859
28.113,-10.132,21.447
27.617,-8.092,22.637
27.749,-8.026,22.537
27.989,-7.814,22.389
27.389,-8.14,22.831
31.267,-3.572,18.383
30.407,-5.766,19.091
31.357,-9.048,21.093
9.627,3.188,35.145
9.867,0.708,35.847
10.609,1.198,35.633
11.257,3.082,35.021
11.291,3.078,35.017
11.375,1.756,35.395
7.149,3.988,35.147
6.017,-0.568,36.729
7.805,-0.566,36.511
7.951,-0.504,36.473
8.029,-0.454,36.447
0.463,-0.57,37.111
-6.759,-3.612,32.979
-8.593,-3.312,33.925
-8.297,-3.236,33.649
-5.803,-3.844,32.561
-5.399,-4.77,33.203
-5.621,-3.6,32.195
-4.521,-1.05,29.339
-4.897,-2.47,30.831
-3.751,-2.308,30.195
-3.535,-2.672,30.445
-3.155,-3.412,30.857
-2.069,-4.082,30.827
-0.909,-4.792,30.791
30.959,-4.0,21.523
32.193,-3.512,21.343
31.281,-3.3,20.865
31.681,-2.876,20.603
31.437,-2.936,20.583
31.861,-2.812,20.599
32.403,-2.674,20.415
32.743,-2.662,20.063
30.699,10.55,23.081
29.025,11.568,23.093
27.147,10.572,22.923
29.559,7.346,20.879
30.551,5.428,19.159
29.657,5.808,20.655
29.279,5.952,21.285
30.193,5.102,19.739
30.361,4.852,19.565
30.477,4.604,19.463
32.191,2.594,21.385
32.401,1.766,20.445
32.741,1.758,20.095
28.453,7.662,28.227
31.323,-5.268,23.663
30.591,-4.712,22.455
30.235,-5.072,22.849
29.061,-5.972,23.799
29.845,-5.448,23.289
29.481,-10.834,21.619
30.589,3.774,22.513
30.959,3.076,21.571
31.279,2.386,20.905
31.101,3.1,18.651
31.253,2.716,18.527
31.293,2.626,18.489
31.353,2.62,18.391
31.397,3.434,18.049
31.389,2.612,18.357
31.827,2.336,18.003
31.693,2.404,18.117
32.563,2.078,18.321
32.903,1.988,18.717
-9.087,-2.582,34.629
-9.533,-1.976,35.249
-8.825,-3.012,34.243
28.251,-6.488,24.347
32.951,-4.63,18.901
25.601,7.142,25.279
27.099,6.124,24.879
32.987,-2.874,18.943
29.795,-11.038,22.467
31.861,1.902,20.631
31.437,2.026,20.617
31.683,1.966,20.637
32.985,1.986,18.975
30.557,4.45,19.353
28.319,6.632,22.269
28.293,6.616,22.297
28.353,6.652,22.231
27.615,7.154,22.739
27.385,7.198,22.935
27.987,6.878,22.491
27.747,7.088,22.639
8.051,-2.884,27.005
9.653,-3.98,27.463
8.801,-6.374,29.025
9.745,-6.11,28.741
28.929,6.866,17.763
5.985,-1.298,26.311
5.135,-2.148,26.935
9.923,-6.056,28.685
5.045,-1.374,26.479
4.755,-3.96,28.387
5.173,-3.65,28.039
5.313,-3.554,27.927
6.173,-7.49,30.599
7.507,-6.844,29.739
8.337,-6.4,29.173
4.283,-4.274,28.753
2.773,-5.288,29.923
1.997,-5.77,30.575
-0.529,-4.96,30.795
2.251,-5.594,30.347
10.609,-2.316,35.609
9.867,-1.83,35.829
9.627,-4.302,35.093
11.255,-4.194,34.971
11.293,-4.19,34.969
11.377,-2.874,35.365
7.147,-5.106,35.085
7.951,-0.628,36.473
8.029,-0.676,36.445
-8.299,2.138,33.685
-6.759,2.522,33.019
-5.805,2.762,32.607
-5.621,2.52,32.235
-4.521,0.014,29.347
-4.897,1.41,30.857
-3.751,1.258,30.219
23.067,4.202,31.715
26.223,2.516,27.897
24.131,4.154,28.013
13.891,-41.492,-26.023
13.245,-39.75,-27.669
14.959,-37.882,-26.593
4.983,2.314,24.805
6.273,3.428,26.049
5.101,3.288,24.619
4.911,0.962,24.983
4.941,-0.49,25.293
4.947,2.036,24.815
4.941,-0.49,25.295
4.911,-1.938,24.963
6.275,-4.418,25.995
4.947,-3.01,24.781
4.985,-3.286,24.767
28.945,13.78,14.989
24.219,13.636,17.787
28.497,12.144,15.383
6.075,-0.574,37.847
9.209,-3.722,39.215
12.169,-5.164,37.605
12.367,-3.372,34.729
11.629,-2.534,34.525
13.039,-3.976,34.685
13.793,-4.472,34.371
11.731,-2.524,34.371
16.019,-6.574,34.371
14.335,-5.14,34.597
14.695,-5.324,34.371
12.541,-3.648,34.891
11.945,-2.502,34.021
15.059,-5.518,34.135
12.587,-2.536,33.117
15.309,-5.498,33.731
15.417,-5.66,33.827
13.397,-2.594,32.005
15.307,4.402,33.799
11.943,1.404,34.045
11.729,1.42,34.397
13.791,3.368,34.425
12.589,1.448,33.139
13.395,1.522,32.033
15.057,4.418,34.205
14.693,4.22,34.435
16.017,5.472,34.453
15.415,4.566,33.897
15.319,4.41,33.793
14.137,1.606,30.753
18.873,6.416,30.699
28.079,15.278,12.427
28.561,14.764,13.937
31.565,12.98,11.831
25.241,14.904,17.201
25.707,16.692,12.123
25.995,16.542,13.921
27.513,15.532,11.087
31.371,12.09,12.521
26.949,15.216,9.747
25.419,16.282,10.317
26.273,13.772,8.347
22.073,18.416,12.615
23.449,17.766,14.903
21.267,5.42,31.187
9.779,-38.952,-26.257
13.015,-38.926,-28.377
17.825,15.012,4.589
18.857,14.146,5.209
18.635,14.47,1.571
17.555,19.25,11.729
19.591,18.776,10.745
18.483,18.154,8.501
27.579,13.202,6.007
30.819,13.6,6.775
30.399,12.792,5.113
24.553,13.012,8.063
27.105,12.19,4.841
29.443,11.402,3.921
30.971,8.748,2.233
28.553,10.014,3.035
20.807,11.52,8.011
18.457,10.306,5.389
19.575,12.156,5.303
22.175,15.53,8.267
23.399,17.582,10.875
23.513,15.328,8.505
20.639,-0.386,10.649
22.271,-9.21,10.039
17.911,-0.378,9.363
26.573,6.826,5.263
28.369,5.082,4.419
28.813,4.486,9.079
25.195,8.268,5.633
24.241,9.268,5.889
24.771,9.19,5.445
26.381,7.262,5.163
26.557,7.316,4.965
26.205,7.21,5.361
23.175,11.59,8.131
23.015,11.612,8.161
24.115,10.68,6.203
25.429,9.944,5.027
25.281,9.828,5.123
25.993,10.5,4.675
26.725,10.632,4.117
26.635,9.93,4.065
15.539,15.0,3.373
17.657,14.796,1.193
16.023,14.444,0.495
14.291,14.048,2.775
28.515,14.07,9.191
24.979,14.608,8.519
-16.751,-3.234,23.043
-15.557,-10.146,21.885
-15.539,-10.214,21.873
-16.855,-2.628,23.143
-7.643,-8.208,20.393
21.631,17.744,9.771
20.845,14.558,7.313
20.305,17.188,8.499
19.561,15.716,6.927
27.371,9.392,3.585
26.861,9.764,3.917
32.601,11.788,13.035
15.935,-1.888,29.515
19.961,-6.99,28.071
20.319,-6.96,28.039
20.347,-6.952,28.039
15.879,-2.248,29.449
14.625,-2.572,29.511
14.381,-6.764,28.689
20.303,-6.966,28.039
15.375,5.106,28.333
16.019,1.182,28.805
16.513,0.25,28.717
16.555,0.408,28.659
20.313,-6.876,28.041
14.625,1.536,29.541
20.295,-6.88,28.053
14.379,5.74,28.777
15.787,6.374,28.903
18.875,-7.466,30.605
17.887,-3.132,30.651
15.617,-2.322,30.699
16.125,0.282,30.707
14.309,-2.66,30.721
14.139,-2.66,30.725
18.451,-1.552,30.653
15.617,1.268,30.725
16.477,2.082,30.713
14.309,1.608,30.751
13.695,2.408,39.969
10.115,1.53,41.245
14.339,-0.596,41.009
10.489,-0.604,42.055
25.653,15.96,15.729
6.921,0.658,41.457
7.065,-0.604,42.065
1.049,-0.594,40.405
21.869,10.242,8.877
22.551,9.604,9.365
22.269,8.444,10.159
19.129,9.988,8.889
22.455,11.148,8.281
22.487,11.214,8.237
28.411,-0.382,10.081
24.713,9.382,5.521
34.449,13.452,7.595
36.989,12.446,7.225
34.851,12.552,5.065
14.391,13.566,-0.215
15.483,11.696,-3.277
13.919,6.678,-4.033
13.485,7.248,-2.983
13.421,6.786,-3.189
13.309,7.356,-2.639
13.475,7.254,-2.963
13.359,7.326,-2.735
13.185,7.434,-2.393
13.281,7.374,-2.583
12.459,7.88,-0.969
30.469,13.778,10.463
31.163,14.022,8.769
30.953,11.116,13.097
11.605,-2.838,28.437
11.745,-4.164,28.257
12.891,-2.772,28.889
10.899,-4.628,27.855
13.395,-2.746,29.065
12.309,-5.276,28.251
13.991,-2.736,29.269
11.847,-5.076,28.129
11.885,-5.42,28.081
11.559,-4.954,28.055
-7.425,-0.47,22.231
-7.565,0.182,22.163
-9.899,-0.47,22.373
20.341,-6.952,28.003
15.321,-5.506,33.725
16.367,-5.504,33.511
15.063,-4.298,34.165
14.125,-4.182,34.395
12.395,-3.854,34.855
12.393,-3.854,34.857
12.539,2.536,34.935
12.389,2.744,34.901
14.123,3.076,34.445
15.061,3.194,34.217
12.395,2.742,34.901
13.035,2.866,34.731
16.367,4.414,33.579
32.539,12.05,4.031
32.511,10.682,2.921
18.785,19.056,13.451
13.635,3.294,27.669
15.591,1.314,26.435
16.847,0.61,25.925
16.567,1.064,26.185
20.339,5.938,28.091
12.309,4.256,28.315
12.891,3.532,27.883
12.885,3.536,27.885
11.207,3.746,27.995
10.899,3.612,27.911
11.387,3.816,28.041
11.557,3.934,28.113
11.849,4.058,28.193
12.895,-4.542,27.827
12.887,-4.546,27.829
11.207,-4.762,27.939
11.387,-4.834,27.983
35.811,10.796,2.987
-48.007,20.406,-16.239
-47.775,20.9,-16.027
-47.821,20.816,-16.839
19.131,-10.738,8.747
16.467,-0.352,7.187
17.783,-0.002,-1.077
17.993,0.048,-2.399
17.917,1.386,-0.705
17.781,-0.008,-1.075
16.751,-0.278,5.399
16.757,-0.08,5.541
16.801,0.838,6.075
16.853,1.562,6.399
16.951,2.39,6.505
17.123,3.534,6.409
17.195,3.848,6.223
17.521,5.282,5.393
17.675,5.69,4.749
17.605,6.944,6.339
17.743,7.71,5.423
17.901,8.134,5.921
18.229,9.618,4.931
18.229,9.618,4.923
18.013,8.634,5.619
33.171,13.572,10.229
6.571,-2.376,39.945
6.921,-1.86,41.439
-8.773,-4.338,21.383
-16.969,-1.62,23.369
-7.565,-1.122,22.155
-7.439,-0.534,22.223
-7.427,-0.482,22.229
16.657,-1.75,26.007
16.567,-2.054,26.165
15.589,-2.308,26.413
13.635,-4.304,27.617
20.193,5.996,28.137
20.301,5.95,28.129
13.719,8.004,28.093
14.593,7.828,28.409
14.221,7.96,28.461
13.559,7.828,27.353
16.671,1.042,25.691
13.991,1.702,29.299
13.395,1.716,29.095
15.103,4.006,34.407
14.331,4.032,34.661
12.367,2.264,34.769
13.327,7.93,27.739
13.193,7.884,27.607
13.041,7.85,27.513
12.141,5.2,27.993
11.605,1.816,28.469
11.747,3.14,28.307
11.889,4.41,28.149
8.409,1.834,29.557
12.891,1.744,28.919
11.627,1.428,34.551
9.523,1.642,34.657
5.965,2.622,31.287
6.693,2.472,34.607
3.565,3.72,33.217
3.971,3.826,35.081
20.203,-7.008,28.047
15.103,-5.11,34.343
9.525,-2.748,34.627
8.409,-2.872,29.523
6.693,-3.578,34.567
5.965,-3.684,31.243
3.567,-4.81,33.159
5.881,-7.356,30.823
3.973,-4.94,35.021
12.141,-6.218,27.915
13.043,-8.858,27.399
13.561,-8.834,27.239
13.197,-8.894,27.493
13.329,-8.94,27.623
13.721,-9.02,27.975
16.671,-2.024,25.671
14.597,-8.848,28.295
14.223,-8.982,28.343
5.881,6.3,30.917
11.991,-34.286,-26.755
14.553,-37.244,-27.407
13.385,-35.918,-28.505
20.345,5.938,28.129
15.891,-0.59,40.197
16.789,15.306,3.957
26.223,-3.526,27.857
28.331,-0.494,26.301
27.735,-0.5,27.391
39.921,10.516,9.099
40.351,9.74,6.701
38.995,11.264,6.887
25.423,-17.05,10.087
26.951,-15.976,9.533
25.711,-17.484,11.889
23.453,-18.598,14.653
25.999,-17.36,13.689
36.031,12.276,11.331
38.183,11.232,11.439
38.019,12.082,9.257
18.791,-20.188,13.183
22.077,-19.376,12.355
20.813,-19.642,14.355
16.965,-20.192,14.091
19.365,-19.344,15.703
15.141,-19.72,15.007
15.599,-20.364,11.863
30.103,-3.282,-8.327
29.409,-3.838,-10.309
29.265,-2.02,-10.075
12.851,-19.104,7.559
14.769,-19.632,7.953
14.993,-20.208,9.889
13.425,-16.948,4.383
13.011,-19.764,9.909
23.729,4.922,-12.821
26.099,3.104,-12.455
23.897,2.654,-12.541
29.923,0.348,-7.497
28.707,1.176,-9.877
30.227,1.602,-7.637
30.717,0.29,-5.853
30.247,-0.882,-7.737
30.159,-2.336,-6.175
30.635,-1.172,-4.467
30.047,3.718,-8.043
29.345,4.422,-9.973
29.859,5.81,-8.381
30.143,4.9,-6.329
29.235,7.348,-8.685
29.077,6.224,-10.215
28.025,7.822,-10.421
29.591,7.094,-6.767
23.347,-11.264,-3.897
25.323,-10.572,-6.835
25.605,-9.962,-5.451
23.053,-11.84,-5.325
24.957,-10.858,-8.583
18.371,-6.15,-11.049
18.593,-8.966,-10.753
16.187,-8.758,-9.633
23.931,8.774,-11.907
26.007,9.494,-10.267
26.071,8.662,-11.267
23.837,7.216,-12.471
23.931,-1.954,-12.723
26.137,-2.376,-12.673
23.797,-4.194,-13.189
44.383,-2.11,14.981
44.315,-3.458,15.669
46.841,-2.644,15.501
47.603,-3.724,15.003
44.717,-4.376,15.545
44.967,-5.032,15.131
16.303,-18.198,26.445
17.277,-15.384,23.899
18.187,-14.746,25.427
20.837,-2.244,-11.253
22.191,-2.982,-12.521
21.317,-4.582,-11.477
42.121,-3.204,15.209
43.111,-4.236,16.197
42.075,-4.216,15.279
43.743,-3.462,16.401
42.019,-4.316,16.711
36.757,-3.548,15.685
38.237,-6.172,14.785
17.259,-16.614,28.001
32.693,1.372,21.305
33.747,-0.452,20.301
33.359,1.854,19.131
19.239,-14.288,24.881
26.153,-8.92,-11.013
26.201,-8.012,-11.941
28.143,-7.212,-11.031
29.701,-6.756,-7.329
28.637,-8.034,-7.691
28.527,-7.952,-9.407
22.387,-11.568,-8.451
24.329,-9.586,-11.447
24.629,-10.482,-10.101
29.449,7.22,16.371
30.925,5.764,15.883
30.609,8.322,15.493
32.429,6.234,15.323
33.533,6.44,14.697
33.145,-0.424,16.371
33.303,-2.058,17.087
31.677,-2.036,15.967
36.147,3.926,14.713
34.757,2.456,13.903
36.259,3.838,14.865
38.061,5.616,14.755
26.277,-14.512,8.155
24.981,-15.35,8.313
27.583,-13.912,5.821
28.517,-14.822,8.993
37.517,8.466,14.305
38.725,6.7,14.295
39.229,8.328,13.147
27.527,-0.536,32.125
25.969,2.666,31.981
26.743,2.49,27.179
39.673,9.8,11.413
17.559,-20.36,11.457
29.949,-5.344,-8.833
29.169,-5.618,-10.695
26.477,-9.376,-9.925
22.179,-16.272,8.049
20.331,-18.232,8.355
19.565,-16.534,6.707
20.849,-15.286,7.109
22.677,-12.098,-7.125
17.405,-12.632,-3.867
18.469,-13.004,-4.601
18.993,-13.046,-3.095
19.863,-13.094,-5.585
20.181,-12.958,-4.067
17.417,-12.21,-7.271
19.345,-12.418,-7.993
26.521,-8.894,-5.047
26.591,-7.206,-2.889
27.447,-7.832,-4.573
27.763,2.442,-11.569
29.229,2.588,-9.889
46.083,3.062,8.107
45.417,1.856,6.653
40.877,1.912,5.115
42.119,5.35,9.219
42.171,3.676,6.917
42.087,3.882,6.933
41.381,7.46,6.723
28.613,-4.862,-3.479
29.625,-6.082,-5.603
30.043,-3.768,-4.891
29.341,-7.502,19.605
40.845,7.566,11.327
37.589,10.418,12.895
36.023,9.91,14.165
35.391,11.452,12.883
31.565,4.056,15.047
30.119,3.854,14.953
32.695,9.43,14.265
35.227,8.514,14.673
32.285,8.494,14.307
31.681,3.07,14.365
31.677,1.19,15.989
33.267,1.526,15.465
24.063,-8.104,-12.589
22.095,-10.468,-9.755
21.797,-8.642,-11.015
22.587,-7.282,-12.621
32.699,-10.252,14.129
32.333,-11.786,13.383
34.259,-11.382,13.837
35.229,-9.34,14.549
36.025,-10.728,14.021
27.717,-5.414,-12.161
26.269,-6.776,-12.485
21.891,0.382,-9.855
18.697,0.366,-10.059
22.083,-1.272,-11.939
21.415,-6.682,-11.647
23.783,1.342,-11.895
25.045,0.442,-10.763
22.335,-5.66,-12.735
22.141,3.634,-12.257
22.061,1.88,-11.817
20.797,2.774,-11.055
42.901,-4.894,15.885
43.083,-5.722,15.507
43.103,-5.356,15.395
44.651,-5.9,14.725
28.911,0.416,-9.301
27.277,-0.39,-11.229
27.989,0.448,-10.335
28.533,4.876,-3.085
29.981,3.922,-4.579
29.525,6.28,-5.101
30.119,2.602,-5.975
17.779,-15.202,0.483
18.753,-14.886,0.875
17.947,-15.576,3.865
16.493,-17.844,5.395
18.027,-17.718,6.043
16.695,-19.606,8.359
18.509,-19.2,8.351
16.915,-15.846,3.219
26.791,-9.688,-8.475
23.403,-18.358,10.629
21.633,-18.826,9.517
19.595,-19.87,10.479
29.349,-6.86,-9.261
42.339,-4.86,15.173
42.963,-5.164,15.049
29.215,-0.482,-9.919
27.793,-1.76,-11.735
26.327,9.864,-9.147
26.635,10.064,-7.677
28.399,8.436,-8.743
18.959,-11.022,-9.705
16.749,-10.832,-8.725
27.629,6.116,-11.695
26.157,7.474,-11.909
20.595,-12.642,-2.101
23.523,-9.698,-2.945
18.973,-14.734,4.525
14.959,-17.722,4.883
10.031,-17.098,7.995
26.119,5.508,-12.565
15.293,-16.292,18.077
12.403,-17.598,15.531
24.223,-14.506,17.593
18.617,-14.794,18.955
19.949,-15.972,18.491
17.869,-18.566,16.841
32.695,3.174,13.809
28.501,-12.982,15.213
23.155,-13.244,17.999
29.849,-10.528,13.603
30.957,-11.922,12.939
28.947,-14.612,14.793
31.569,-13.768,11.647
31.373,-12.888,12.349
32.605,-12.592,12.867
23.943,-6.506,-13.023
15.747,-3.0,-9.409
16.227,0.302,-8.987
18.445,-3.166,-10.547
23.797,-0.702,-11.971
27.267,1.026,-11.173
25.981,1.166,-11.705
15.373,-10.704,-6.945
14.583,-8.366,-7.831
16.349,-12.036,-5.607
15.665,-11.528,-4.217
16.141,-14.832,-0.199
14.499,-13.93,-0.867
14.407,-14.558,2.097
12.583,-12.198,1.921
42.317,-5.118,16.137
40.437,-6.822,13.217
41.443,-6.876,11.389
41.595,-6.566,11.437
40.847,-8.666,11.215
42.121,-6.1,9.141
38.725,-7.52,14.197
36.961,-7.848,14.701
37.519,-9.288,14.183
39.233,-9.454,13.025
37.591,-11.542,12.745
39.675,-10.902,11.271
30.219,-4.596,-6.715
31.423,-3.19,16.603
29.729,-1.936,-3.015
26.819,-3.432,-1.523
27.275,-5.41,-2.175
27.775,4.142,-11.795
41.593,5.784,11.521
44.649,5.074,14.799
46.587,4.792,13.403
47.217,4.532,12.289
49.259,2.728,11.303
47.433,4.158,10.867
27.799,-9.02,20.225
28.931,-7.736,17.663
29.971,-5.936,17.159
28.815,-5.236,9.011
29.509,-4.782,3.185
28.371,-6.086,4.347
30.141,-8.822,2.267
27.809,-9.01,3.079
29.417,-8.544,2.475
30.321,-8.918,2.221
30.973,-9.726,2.109
29.465,-8.04,2.391
28.555,-10.682,2.893
27.107,-12.884,4.669
26.729,-11.314,3.967
40.217,6.258,13.191
40.435,6.016,13.305
